### orig trial#;type;Face #;sex; spatial change ;position of changed face; r-k(ascii) ;file name left ;  file name right ;seq;FaceAge
57;upright ;15;male;moth up;left;different;013_11_m.jpg;013_11_m_moth_up.jpg;98;11years01
58;upright ;16;male;none;;same;08_11_m.jpg;08_11_m_same.jpg;95;11years02
59;upright ;17;male;none;;same;02_12_m.jpg;02_12_m_same.jpg;70;12years01
60;upright ;18;male;none;;same;014_12_m.jpg;014_12_m_same.jpg;85;12years02
61;inverted;13;female;eyes up;right;different;05_10_f_in.jpg;05_10_f_eyes_up_in.jpg;74;10years01
62;inverted;14;female;eyes in;left;different;014_10_f_in.jpg;014_10_f_eyes_in_in.jpg;99;10years02
63;inverted;15;female;moth up;right;different;013_11_f_in.jpg;013_11_f_moth_up_in.jpg;36;11years01
64;inverted;16;female;none;;same;014_11_f_in.jpg;014_11_f_same_in.jpg;106;11years02
65;inverted;17;female;none;;same;010_12_f_in.jpg;010_12_f_same_in.jpg;5;12years01
66;inverted;18;female;none;;same;011_12_f_in.jpg;011_12_f_same_in.jpg;25;12years02
67;inverted;13;male;eyes up;right;different;08_10_m_in.jpg;08_10_m_eyes_up_in.jpg;78;10years01
68;inverted;14;male;eyes in;left;different;06_10_m_in.jpg;06_10_m_eyes_in_in.jpg;54;10years02
69;inverted;15;male;moth up;right;different;013_11_m_in.jpg;013_11_m_moth_up_in.jpg;63;11years01
70;inverted;16;male;none;;same;08_11_m_in.jpg;08_11_m_same_in.jpg;33;11years02
71;inverted;17;male;none;;same;02_12_m_in.jpg;02_12_m_same_in.jpg;48;12years01
72;inverted;18;male;none;;same;014_12_m_in.jpg;014_12_m_same_in.jpg;53;12years02
73;upright ;19;female;eyes up;left;different;04_13_f.jpg;04_13_f_eyes_up.jpg;90;13years01
74;upright ;20;female;eyes in;left;different;05_13_f.jpg;05_13_f_eyes_in.jpg;50;13years02
75;upright ;21;female;moth up;right;different;09_14_f.jpg;09_14_f_moth_up.jpg;81;14years01
76;upright ;22;female;none;;same;014_14_f.jpg;014_14_f_same.jpg;87;14years02
77;upright ;23;female;none;;same;03_15_f.jpg;03_15_f_same.jpg;21;15years01
78;upright ;24;female;none;;same;07_15_f.jpg;07_15_f_same.jpg;57;15years02
79;upright ;19;male;eyes up;left;different;012_13_m.jpg;012_13_m_eyes_up.jpg;41;13years01
80;upright ;20;male;eyes in;left;different;07_13_m.jpg;07_13_m_eyes_in.jpg;96;13years02
81;upright ;21;male;moth up;right;different;014_14_m.jpg;014_14_m_moth_up.jpg;83;14years01
82;upright ;22;male;none;;same;04_14_m.jpg;04_14_m_same.jpg;75;14years02
83;upright ;23;male;none;;same;02_15_m.jpg;02_15_m_same.jpg;47;15years01
84;upright ;24;male;none;;same;014_15_m.jpg;014_15_m_same.jpg;55;15years02
85;inverted;19;female;eyes up;left;different;04_13_f_in.jpg;04_13_f_eyes_up_in.jpg;8;13years01
86;inverted;20;female;eyes in;right;different;05_13_f_in.jpg;05_13_f_eyes_in_in.jpg;39;13years02
87;inverted;21;female;moth up;left;different;09_14_f_in.jpg;09_14_f_moth_up_in.jpg;73;14years01
88;inverted;22;female;none;;same;014_14_f_in.jpg;014_14_f_same_in.jpg;1;14years02
89;inverted;23;female;none;;same;03_15_f_in.jpg;03_15_f_same_in.jpg;24;15years01
90;inverted;24;female;none;;same;07_15_f_in.jpg;07_15_f_same_in.jpg;68;15years02
91;inverted;19;male;eyes up;left;different;012_13_m_in.jpg;012_13_m_eyes_up_in.jpg;102;13years01
92;inverted;20;male;eyes in;right;different;07_13_m_in.jpg;07_13_m_eyes_in_in.jpg;16;13years02
93;inverted;21;male;moth up;left;different;014_14_m_in.jpg;014_14_m_moth_up_in.jpg;19;14years01
94;inverted;22;male;none;;same;04_14_m_in.jpg;04_14_m_same_in.jpg;44;14years02
95;inverted;23;male;none;;same;02_15_m_in.jpg;02_15_m_same_in.jpg;110;15years01
96;inverted;24;male;none;;same;014_15_m_in.jpg;014_15_m_same_in.jpg;6;15years02
97;upright ;25;female;eyes up;right;different;010_16_f.jpg;010_16_f_eyes_up.jpg;59;16years01
98;upright ;26;female;eyes in;right;different;014_16_f.jpg;014_16_f_eyes_in.jpg;82;16years02
99;upright ;27;female;moth up;left;different;014_17_f.jpg;014_17_f_moth_up.jpg;88;17years01
100;upright ;28;female;none;;same;013_17_f.jpg;013_17_f_same.jpg;91;17years02
101;upright ;29;female;none;;same;010_18_f.jpg;010_18_f_same.jpg;104;18years01
102;upright ;30;female;none;;same;013_18_f.jpg;013_18_f_same.jpg;18;18years02
103;upright ;25;male;eyes up;right;different;06_16_m.jpg;06_16_m_eyes_up.jpg;12;16years01
104;upright ;26;male;eyes in;right;different;014_16_m.jpg;014_16_m_eyes_in.jpg;103;16years02
105;upright ;27;male;moth up;left;different;014_17_m.jpg;014_17_m_moth_up.jpg;117;17years01
106;upright ;28;male;none;;same;05_17_m.jpg;05_17_m_same.jpg;34;17years02
107;upright ;29;male;none;;same;013_18_m.jpg;013_18_m_same.jpg;77;18years01
108;upright ;30;male;none;;same;014_18_m.jpg;014_18_m_same.jpg;27;18years02
109;inverted;25;female;eyes up;left;different;010_16_f_in.jpg;010_16_f_eyes_up_in.jpg;118;16years01
110;inverted;26;female;eyes in;left;different;014_16_f_in.jpg;014_16_f_eyes_in_in.jpg;71;16years02
111;inverted;27;female;moth up;right;different;014_17_f_in.jpg;014_17_f_moth_up_in.jpg;45;17years01
112;inverted;28;female;none;;same;013_17_f_in.jpg;013_17_f_same_in.jpg;92;17years02
113;inverted;29;female;none;;same;010_18_f_in.jpg;010_18_f_same_in.jpg;9;18years01
114;inverted;30;female;none;;same;013_18_f_in.jpg;013_18_f_same_in.jpg;94;18years02
115;inverted;25;male;eyes up;left;different;06_16_m_in.jpg;06_16_m_eyes_up_in.jpg;86;16years01
116;inverted;26;male;eyes in;left;different;014_16_m_in.jpg;014_16_m_eyes_in_in.jpg;42;16years02
117;inverted;27;male;moth up;right;different;014_17_m_in.jpg;014_17_m_moth_up_in.jpg;113;17years01
118;inverted;28;male;none;;same;05_17_m_in.jpg;05_17_m_same_in.jpg;108;17years02
119;inverted;29;male;none;;same;013_18_m_in.jpg;013_18_m_same_in.jpg;115;18years01
120;inverted;30;male;none;;same;014_18_m_in.jpg;014_18_m_same_in.jpg;17;18years02
